Size,Density,MatrixTime(ms),ListTime(ms)
20,0.1,0.29,0.19
20,0.3,0.08,0.05
20,0.5,0.11,0.06
20,0.7,0.14,0.10
20,0.9,0.13,0.09
40,0.1,0.22,0.11
40,0.3,0.46,0.17
40,0.5,0.45,0.31
40,0.7,0.53,0.28
40,0.9,0.58,0.52
60,0.1,0.55,0.18
60,0.3,1.04,0.49
60,0.5,1.26,0.55
60,0.7,1.37,0.60
60,0.9,1.56,1.12
80,0.1,1.11,0.43
80,0.3,1.33,0.57
80,0.5,2.04,0.89
80,0.7,2.17,1.27
80,0.9,2.74,1.59
100,0.1,1.53,0.63
100,0.3,2.50,1.51
100,0.5,3.23,1.85
100,0.7,4.12,2.09
100,0.9,5.16,2.77
120,0.1,2.00,1.90
120,0.3,3.15,1.52
120,0.5,5.13,2.07
120,0.7,6.26,3.80
120,0.9,7.36,3.70
140,0.1,3.17,1.03
140,0.3,5.08,2.39
140,0.5,7.80,2.90
140,0.7,10.18,5.14
140,0.9,11.43,6.03
160,0.1,3.32,1.19
160,0.3,5.94,2.54
160,0.5,9.69,3.61
160,0.7,11.70,5.54
160,0.9,15.66,6.39
180,0.1,4.30,1.24
180,0.3,8.12,2.82
180,0.5,12.27,4.61
180,0.7,26.44,6.76
180,0.9,23.37,8.60
200,0.1,4.55,1.46
200,0.3,9.94,3.58
200,0.5,12.42,6.08
200,0.7,18.59,8.46
200,0.9,30.21,10.32
